Function check,,,,,,,
,Dashboard or some output of value,,,,,,
MUST x Business value,,,,,,,
,Value,Detail,Yes / No,Feb2,Q&A,Q&A,
,"Dailry revenue report
日次売上の自動集計","Automatically aggregates total revenue on a daily basis
1日単位で総売上を自動集計できる",Yes,OK,,,
,Weekly revenue report,Aggregates revenue weekly with configurable week start,Yes,OK ,,,
,Monthly revenue report,Aggregates revenue monthly to track KGI progress,Yes,OK ,,,
,"Guest Count (Traffic),",Records the number of actual visiting guests,Yes,OK(KHÁCH NƯỚC NGOÀI BAO GỒM 1 CỘT) ,,,
,Automatic average check calculation,Automatically calculates revenue per guest,Yes,OK,,,
,Table Turnover Rate,How many times a table is used per day,No - We have reports organized by area. These reports can be supplemented with additional information.,A-B-C-R-T ,,,
,COGS ratio calculation,Calculates cost of goods sold as a percentage of revenue,yes,"OK (Nhập giá cost và gái bán ,định lượng bán sẽ chạy được ) ",,,
,Labor cost ratio calculation,Calculates labor cost as a percentage of revenue,No,NO,,,
,Period-over-period revenue comparison,Enables day/week/month revenue comparisons,Yes,"LỌC THEO NGÀY , CHƯA LỌC THEO THÁNG ĐƯỢC , VÀ LỌC THEO TAHNGS TRÊN ĐT CHỈ 2 THÁNG GẦN NHẤT ",,,
,Data export (CSV / Excel),"Interaction level with content (likes, comments, saves)",Yes,OK,,,
,Connect to Finger print device (Maker:Ronald Jack Model Name: RJ-818),Collect attendance data from the Finger Print Deveice,No -This version is not currently updated. It will be updated in a later version.,NO,"If the firmware update, can be connectted ?",Our HRM version scheduled for early 2026 will support connection with the time attendance machine. We will notify customers when the official version is released.,
,Type Revenue collecting,"Dinner, Lunch, Wine, Delivery",yes,OK,,,
,Inventry data,to submit daily revenue to issue Red invoice,yes,OK,,,
,Connect to TAX office,to submit daily revenue to issue Red invoice,Yes,OK,,,
,ACT software conection,MISA AMIS connectivity,,,,,
,,,0.79,,,,
MUST x Marketing value,,,,,,,
,Value,Detail,Yes / No,,,,
,Digital marketing revenue attribution,Separates revenue generated via digital marketing,Yes,Tạo nhóm khách và nhập khi khách vào sẽ ra bảng thống kê ,,,
,Channel-based visit tracking,Tracks visits by acquisition channel,No. This is a report from your wifi marketing partner.,,"We cannot ask by WiFi such detail, any simular function to ask them which SNS database? Any alternative idea you have?","We can help you record the number and origin of customer groups. This approach will require support from the service staff, as they will need to collect the information and enter it into the system each time a table is opened.",plz set groupchat of Zalo
,Campaign / event ID management,Links revenue to campaigns or events,Yes,OK,,,
,Event-day revenue extraction,Extracts revenue generated on event days,Yes,OK,,,
,Cost per acquisition (CPA) calculation,Calculates cost per acquired visitor,Yes,OK,,,
,Marketing cost input,Marketing cost input,Yes,OK,,,
,SNS tracking,"Tracking customer from GoogleMap, ZaloOA, FB or TikTok",Yes. We have sent CRM notifications to our partner zaloOA.,,,,
,Return on investment (ROI) calculation,Return on investment (ROI) calculation,No,,,,
,Weekly marketing report generation,Generates weekly marketing performance reports,No,,,,
,,,0.67,,,,
WANT x Business value,,,,,,,
,Value,Detail,Yes / No,,,,
,Table turnover rate calculation,Measures table utilization efficiency,No - We have reports organized by area. These reports can be supplemented with additional information.,,,,
,Revenue by time of day,Analyzes revenue by time segments,Yes,OK,,,
,Weekday vs weekend analysis,Compares weekday and weekend performance,Yes,OK,,,
,Group booking tracking,Tracks group bookings and visits,Yes,OK,,,
,Average revenue per group,Measures average revenue per group,Yes,OK,,,
,Business-use tagging,Business-use tagging,Yes,OK,,,
,Reservation rate calculation,Calculates percentage of visits with reservations,Yes,OK,,,
,Repeat visit rate calculation,Measures customer repeat rate,Yes,OK,,,
,KPI,KPI (Daily and Weekly) reaching rate,"I don't know the specific KPI target, so I can't answer that.",,"For example, if we set weekly KPI as 300M, then Dashboard show us the reaching rate on pie chart or something","I think this issue can be handled, but we need to discuss it in more detail with the development team.",plz set groupchat of Zalo
,KGI,KGI (monthly reaching rate),"I don't know the specific KGI target, so I can't answer that.",,Same above,"I think this issue can be handled, but we need to discuss it in more detail with the development team.",plz set groupchat of Zalo
,HR software connectivity,MISA HIM connection,,,,,
,,,0.7,,,,
WANT x Marketing value,,,,,,,
,Value,Detail,Yes / No,,,,
,Post-event revenue tracking,Tracks revenue impact after events,Yes,OK,,,
,Influencer management (KOL/KOC),"Manages influencers, costs, and posts",No,OK,,,
,Revenue by influencer,Measures revenue contribution per influencer,Yes,OK,,,
,Social media reach tracking,Retrieves reach data from social platforms,Yes,OK,,,
,Save rate calculation,Calculates save rate as intent indicator,No,,,,
,Visit conversion rate calculation,Measures conversion from reach to visits,No,,,,
,Customer lifetime value calculation,Calculates lifetime customer value,No,,,,
,A/B campaign comparison,Compares performance across initiatives,No,,,,
,,,0.38,,,,
