,Function check,,,,,,,,,,,
,,Dashboard or some output of value,,,,,,,,,,
,,Value,Detail,,F2 tech,IPOS.vn ,Dcorp R-Keeper,POSAPP,Relipos,Sapo,Self development by IT team,Commment
,MUST Basic,Initial fee,,,,,,,,,,
,,Monthly fee,,,0,,,,,,,
,,Onsite support,,,NO,,,,,,,
,,,Combine invoice number with bill number,,NO,YES,,,,,,
,,,EMenu tablet/QR code smart phone,,YES,YES,,,YES,,,"We dont use QR by guest smartphone, pnly order by our tablet"
,MUST x Business value,"Dailry revenue report
日次売上の自動集計","Automatically aggregates total revenue on a daily basis
1日単位で総売上を自動集計できる",Tự động tổng hợp tổng doanh thu hàng ngày,YES,YES,YES,YES,YES,YES,,
,,Weekly revenue report,Aggregates revenue weekly with configurable week start,Tổng hợp doanh thu hàng tuần với ngày bắt đầu có thể cấu hình,YES,YES,YES,YES,YES,YES,,
,,Monthly revenue report,Aggregates revenue monthly to track KGI progress,Tổng hợp doanh thu hàng tháng để theo dõi tiến độ KGI,YES,YES,YES,YES,YES,YES,,
,,"Guest Count (Traffic),",Records the number of actual visiting guests,Ghi lại số lượng khách thực tế đến,YES,YES,YES,YES,YES,YES,,
,,Automatic average check calculation,Automatically calculates revenue per guest,Tự động tính toán doanh thu trên mỗi khách,YES,YES,YES,YES,YES,YES,,
,,Table Turnover Rate,How many times a table is used per day,Tỷ lệ sử dụng bàn mỗi ngày,NO,NO,YES,NO,YES,YES,,
,,COGS ratio calculation,Calculates cost of goods sold as a percentage of revenue,Tính toán giá vốn hàng bán dưới dạng phần trăm doanh thu,YES,YES,YES,YES,YES,YES,,
,,Labor cost ratio calculation,Calculates labor cost as a percentage of revenue,Tính toán chi phí nhân công dưới dạng phần trăm doanh thu,NO,NO,YES,NO,NO,NO,,
,,Period-over-period revenue comparison,Enables day/week/month revenue comparisons,Cho phép so sánh doanh thu theo ngày/tuần/tháng,YES,YES,YES,YES,YES,YES,,
,,Data export (CSV / Excel),"Interaction level with content (likes, comments, saves)","Mức độ tương tác với nội dung (lượt thích, bình luận, lưu)",YES,YES,YES,YES,YES,YES,,
,,Connect to Finger print device (Maker:Ronald Jack Model Name: RJ-818),Collect attendance data from the Finger Print Deveice,Thu thập dữ liệu điểm danh từ thiết bị vân tay,NO,NO,YES,NO,NO,NO,,
